display_name,source,avg_wait_mins,min_wait_mins,max_wait_mins,service_start,service_end
1A,stop_times.txt,7.8,1.0,108.0,05:15:00,25:10:00
62A,frequencies.txt,7.8,5.0,10.0,06:15:00,35:36:00
65A,stop_times.txt,7.8,3.0,97.0,05:00:00,23:30:00
59X,frequencies.txt,7.9,3.0,21.0,05:05:00,24:53:00
15M,stop_times.txt,7.9,2.0,30.0,06:30:00,25:12:00
56A,frequencies.txt,7.9,3.0,30.0,05:30:00,25:03:00
90M,stop_times.txt,7.9,1.0,128.0,05:45:00,24:00:00
42A,frequencies.txt,7.9,4.0,20.0,05:20:00,24:25:00
273B,frequencies.txt,7.9,5.0,15.0,05:30:00,24:30:00
89P,stop_times.txt,8.0,1.0,20.0,06:30:00,23:00:00
K73,frequencies.txt,8.0,4.0,45.0,05:50:00,24:26:00
27M,frequencies.txt,8.0,7.0,30.0,06:40:00,24:00:00
63B,frequencies.txt,8.0,6.0,10.0,07:00:00,24:00:00
4S,frequencies.txt,8.0,8.0,8.0,07:00:00,23:30:00
609B,stop_times.txt,8.0,8.0,8.0,06:30:00,20:00:00
N4M,stop_times.txt,8.0,2.0,18.0,00:00:00,01:20:00
211A,stop_times.txt,8.0,8.0,8.0,08:30:00,20:30:00
611A,stop_times.txt,8.0,8.0,8.0,06:30:00,09:00:00
12B,frequencies.txt,8.0,8.0,8.0,06:00:00,23:30:00
960S,stop_times.txt,8.0,2.0,18.0,07:05:00,19:28:00
19S,stop_times.txt,8.0,8.0,8.0,06:30:00,21:00:00
948X,stop_times.txt,8.0,5.0,10.0,07:30:00,09:07:00
811,frequencies.txt,8.0,8.0,8.0,06:15:00,23:15:00
288C,stop_times.txt,8.0,8.0,8.0,07:07:00,07:50:00
83A,stop_times.txt,8.0,5.0,50.0,06:00:00,24:15:00
43A,stop_times.txt,8.0,1.0,90.0,06:00:00,24:00:00
20K,stop_times.txt,8.1,1.0,208.0,05:00:00,24:50:00
807X,frequencies.txt,8.1,5.0,10.0,06:00:00,24:09:00
22,stop_times.txt,8.1,1.0,104.0,05:40:00,24:15:00
107,stop_times.txt,8.1,1.0,80.0,06:00:00,24:37:00
63A,frequencies.txt,8.1,3.0,12.0,06:00:00,24:00:00
936A,stop_times.txt,8.1,2.0,15.0,07:00:00,19:29:00
27M,stop_times.txt,8.1,1.0,105.0,06:40:00,24:00:00
87K,frequencies.txt,8.1,6.0,15.0,00:15:00,24:00:00
811K,stop_times.txt,8.2,1.0,11.0,07:00:00,09:35:00
31M,frequencies.txt,8.2,5.0,16.0,05:40:00,24:40:00
29A,frequencies.txt,8.2,7.0,45.0,07:00:00,23:45:00
88B,frequencies.txt,8.2,5.0,15.0,06:00:00,24:00:00
101,stop_times.txt,8.2,1.0,162.0,05:30:00,25:26:00
B3X,frequencies.txt,8.2,5.0,20.0,06:15:00,23:19:00
88G,frequencies.txt,8.2,4.0,15.0,06:15:00,24:00:00
27MS,stop_times.txt,8.3,2.0,15.0,06:40:00,24:00:00
213S,frequencies.txt,8.4,7.0,12.0,06:00:00,09:00:00
788,frequencies.txt,8.4,3.0,20.0,05:30:00,24:30:00
276P,stop_times.txt,8.4,1.0,66.0,05:25:00,25:01:00
Yau Tsim - Huanggang,stop_times.txt,8.4,1.0,30.0,02:00:00,26:24:00
8P,frequencies.txt,8.4,5.0,30.0,05:30:00,25:19:00
55,stop_times.txt,8.5,1.0,240.0,06:10:00,23:20:00
86M,frequencies.txt,8.5,5.0,20.0,05:50:00,23:49:00
87K,stop_times.txt,8.5,1.0,150.0,00:15:00,24:00:00
83B,frequencies.txt,8.5,7.0,10.0,06:30:00,21:04:00
K17,frequencies.txt,8.5,5.0,12.0,06:00:00,25:07:00
K18,frequencies.txt,8.5,5.0,12.0,06:00:00,25:05:00
962P,frequencies.txt,8.5,4.0,15.0,06:55:00,09:33:00
59M,frequencies.txt,8.5,4.0,20.0,05:30:00,24:49:00
278K,frequencies.txt,8.5,7.0,20.0,05:20:00,25:00:00
53M,frequencies.txt,8.6,5.0,12.0,06:30:00,24:10:00
249M,frequencies.txt,8.6,7.0,15.0,05:45:00,25:15:00
88M,stop_times.txt,8.6,1.0,155.0,06:15:00,24:00:00
609,frequencies.txt,8.6,6.0,15.0,06:00:00,22:30:00
4A,stop_times.txt,8.6,3.0,100.0,06:00:00,24:10:00
73X,frequencies.txt,8.6,5.0,30.0,05:10:00,24:25:00
98,frequencies.txt,8.6,4.0,20.0,05:00:00,24:45:00
20,frequencies.txt,8.7,6.0,30.0,05:35:00,24:20:00
87,frequencies.txt,8.7,8.0,20.0,06:15:00,23:00:00
80,stop_times.txt,8.7,1.0,120.0,05:15:00,24:30:00
301,stop_times.txt,8.7,5.0,10.0,06:30:00,23:15:00
23,stop_times.txt,8.8,1.0,75.0,05:45:00,24:48:00
88F,frequencies.txt,8.8,5.0,20.0,06:30:00,23:35:00
K65A,stop_times.txt,8.8,1.0,15.0,06:55:00,19:36:00
A29,stop_times.txt,8.8,1.0,56.0,05:15:00,25:36:00
14D,stop_times.txt,8.8,1.0,28.0,06:45:00,16:28:00
K54,stop_times.txt,8.8,2.0,15.0,06:00:00,23:32:00
58M,frequencies.txt,8.8,3.0,30.0,05:00:00,24:56:00
70,frequencies.txt,8.9,4.0,23.0,05:20:00,24:31:00
86,stop_times.txt,8.9,1.0,170.0,05:40:00,24:25:00
65,stop_times.txt,8.9,2.0,236.0,06:00:00,24:00:00
NR330,frequencies.txt,8.9,4.0,15.0,06:00:00,24:45:00
20B,stop_times.txt,8.9,1.0,46.0,05:25:00,24:06:00
8S,frequencies.txt,8.9,5.0,30.0,06:00:00,23:30:00
271,frequencies.txt,8.9,6.0,20.0,05:35:00,25:26:00
74B,frequencies.txt,8.9,6.0,15.0,07:30:00,19:48:00
B8,frequencies.txt,8.9,5.0,30.0,06:00:00,22:53:00
3D,stop_times.txt,8.9,1.0,73.0,05:40:00,24:29:00
22M,frequencies.txt,8.9,2.0,30.0,05:30:00,25:30:00
39C,frequencies.txt,8.9,7.0,10.0,06:30:00,24:04:00
272S,stop_times.txt,9.0,1.0,20.0,07:10:00,19:33:00
89C,stop_times.txt,9.0,1.0,106.0,05:30:00,24:31:00
3A,stop_times.txt,9.0,1.0,158.0,06:00:00,23:42:00
105,frequencies.txt,9.0,5.0,20.0,06:00:00,24:22:00
3D,frequencies.txt,9.0,4.0,25.0,05:40:00,24:29:00
19S,frequencies.txt,9.0,9.0,9.0,06:30:00,21:00:00
65M,frequencies.txt,9.0,8.0,10.0,07:00:00,22:00:00
20S,stop_times.txt,9.0,9.0,9.0,06:00:00,22:00:00
501A,frequencies.txt,9.0,8.0,10.0,06:35:00,10:23:00
N37,stop_times.txt,9.0,9.0,9.0,01:00:00,02:00:00
E11S,stop_times.txt,9.0,5.0,20.0,06:20:00,09:22:00
35M,frequencies.txt,9.0,8.0,10.0,06:20:00,09:00:00
21M,frequencies.txt,9.0,6.0,12.0,06:00:00,24:03:00
DB03R,stop_times.txt,9.0,1.0,17.0,06:15:00,25:34:00
611B,stop_times.txt,9.0,7.0,11.0,06:30:00,18:00:00
23M,stop_times.txt,9.0,1.0,236.0,05:30:00,24:00:00
960,frequencies.txt,9.1,5.0,25.0,05:00:00,25:46:00
37A,frequencies.txt,9.1,4.0,30.0,05:00:00,24:00:00
11,stop_times.txt,9.1,1.0,160.0,05:15:00,26:15:00
89S,frequencies.txt,9.1,5.0,30.0,06:30:00,24:30:00
503K,frequencies.txt,9.1,5.0,15.0,06:00:00,22:38:00
69X,frequencies.txt,9.2,6.0,30.0,05:15:00,24:50:00
34S,stop_times.txt,9.2,8.0,30.0,06:15:00,23:50:00
16B,frequencies.txt,9.2,6.0,12.0,06:00:00,23:00:00
17M,frequencies.txt,9.2,5.0,15.0,05:45:00,25:00:00
46X,frequencies.txt,9.2,5.0,30.0,05:00:00,24:34:00
60X,frequencies.txt,9.2,6.0,21.0,05:40:00,24:52:00
803K,frequencies.txt,9.2,6.0,15.0,06:00:00,24:55:00
89S,stop_times.txt,9.3,1.0,224.0,06:30:00,24:30:00
982X,stop_times.txt,9.3,1.0,20.0,06:55:00,19:29:00
88A,stop_times.txt,9.3,1.0,114.0,06:30:00,22:00:00
58M,stop_times.txt,9.3,1.0,120.0,05:00:00,24:56:00
606S,frequencies.txt,9.3,6.0,13.0,00:00:00,24:00:00
95A,frequencies.txt,9.3,7.0,15.0,06:30:00,24:00:00
235M,frequencies.txt,9.3,5.0,20.0,05:45:00,24:40:00
106,stop_times.txt,9.3,1.0,129.0,05:35:00,25:09:00
952P,stop_times.txt,9.4,1.0,24.0,07:00:00,09:37:00
261B,stop_times.txt,9.4,3.0,15.0,07:25:00,09:06:00
27,stop_times.txt,9.4,1.0,125.0,05:15:00,24:30:00
88C,frequencies.txt,9.5,6.0,12.0,07:00:00,23:00:00
34S,frequencies.txt,9.5,8.0,60.0,06:15:00,23:50:00
118P,stop_times.txt,9.5,1.0,20.0,06:50:00,20:11:00
41,stop_times.txt,9.5,2.0,109.0,06:00:00,21:20:00
806A,stop_times.txt,9.5,1.0,20.0,06:30:00,22:00:00
2X,frequencies.txt,9.5,6.0,30.0,05:25:00,25:38:00
1A,frequencies.txt,9.5,4.0,30.0,05:15:00,25:10:00
58,frequencies.txt,9.5,4.0,45.0,05:30:00,24:00:00
24M,stop_times.txt,9.5,1.0,162.0,06:15:00,24:03:00
48X,frequencies.txt,9.5,5.0,20.0,05:30:00,24:40:00
X89D,stop_times.txt,9.5,5.0,13.0,07:00:00,19:22:00
64K,frequencies.txt,9.5,6.0,20.0,05:20:00,24:30:00
27,frequencies.txt,9.6,3.0,25.0,05:15:00,24:30:00
52,frequencies.txt,9.6,5.0,20.0,05:00:00,24:45:00
7010,stop_times.txt,9.7,5.0,35.0,06:00:00,25:25:00
16A,frequencies.txt,9.7,5.0,15.0,05:45:00,25:25:00
